model,dataset,instance_id,step_idx,n_steps,step_position_normalized,binary_faithful,delta_p,initial_correct_prob,post_correct_prob,initial_prediction_correct,lr,efficacy_epoch
LLaMA-3-3B,arc-challenge,Mercury_SC_408547,0,5,0.0,False,-0.3993853475024831,0.5821239201059704,0.9815092676084535,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7012740,0,16,0.0,True,0.8570467264342844,0.8724699592927951,0.015423232858510797,True,3e-05,2
LLaMA-3-3B,arc-challenge,Mercury_SC_417677,0,4,0.0,False,0.008474716017550787,0.9978144921504878,0.989339776132937,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_401357,0,6,0.0,True,0.8393079271045689,0.8722897085373769,0.03298178143280797,True,3e-05,4
LLaMA-3-3B,arc-challenge,MCAS_2003_8_31,0,5,0.0,False,0.5282601254630724,0.9039599420728078,0.3756998166097354,True,3e-05,4
LLaMA-3-3B,arc-challenge,MSA_2012_5_23,0,4,0.0,False,0.25811634696323926,0.2581517008774052,3.535391416595202e-05,False,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_409139,0,10,0.0,True,0.9818291580822892,0.9945310765262226,0.01270191844393338,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7086748,0,4,0.0,False,0.007149947264851297,0.9824698640516504,0.9753199167867991,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7175875,0,21,0.0,False,-0.008303975575802425,0.991539473738106,0.9998434493139085,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7009993,0,6,0.0,True,0.14438533308790524,0.1466440355193352,0.002258702431429962,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_415086,0,4,0.0,False,-0.12915345541675183,0.10480417461970713,0.23395763003645895,False,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_401792,0,7,0.0,True,0.71892993701971,0.9980702468198006,0.2791403098000906,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7093958,0,7,0.0,True,0.8463077680996955,0.9469957017872883,0.10068793368759281,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_415303,0,11,0.0,True,-0.06745471177916745,0.05862250369623736,0.12607721547540482,False,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_400402,0,6,0.0,False,-0.020904849063283097,0.010156146766731202,0.031060995830014298,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_180005,0,7,0.0,True,0.6518076975327805,0.7194300530289115,0.06762235549613109,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7174213,0,6,0.0,True,0.9366843706430268,0.9726217352504967,0.035937364607469886,True,3e-05,3
LLaMA-3-3B,arc-challenge,LEAP_2005_8_10404,0,10,0.0,False,-0.03294107764572096,0.9666577685398117,0.9995988461855326,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7011130,0,4,0.0,False,-0.3415690669246324,0.4393224674278636,0.780891534352496,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7212398,0,13,0.0,True,0.3141927186851043,0.8091819196505382,0.4949892009654339,True,3e-05,3
LLaMA-3-3B,arc-challenge,MCAS_2006_8_1,0,6,0.0,False,-0.01815735704846244,0.9790201361067843,0.9971774931552467,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_SC_400057,0,6,0.0,True,0.7063895244386258,0.9752977923738315,0.2689082679352058,True,3e-05,3
LLaMA-3-3B,arc-challenge,MCAS_2006_9_12,0,4,0.0,True,0.35798903065310256,0.35804866870664387,5.9638053541322296e-05,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_415762,0,4,0.0,True,0.5075043083614947,0.825384781214566,0.31788047285307125,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7064575,0,6,0.0,True,0.5439564475019001,0.9789163298741685,0.4349598823722684,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7136885,0,6,0.0,True,0.7005558378564387,0.8749272164009086,0.17437137854447,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_401766,0,11,0.0,False,-0.1644889281933597,0.822607270306959,0.9870961985003187,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7016800,0,5,0.0,True,0.0744465848763285,0.07553654839548575,0.0010899635191572487,False,3e-05,4
LLaMA-3-3B,arc-challenge,MCAS_2014_5_7,0,9,0.0,False,0.06230032127848173,0.9550230732431618,0.8927227519646801,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_SC_407400,0,12,0.0,True,-0.8072786008487526,0.11625874566988015,0.9235373465186327,False,3e-05,3
LLaMA-3-3B,arc-challenge,NYSEDREGENTS_2008_8_34,0,6,0.0,False,0.2581136026648829,0.9327613418577562,0.6746477391928732,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_414099,0,4,0.0,False,-0.012336422593746899,0.9809550269191509,0.9932914495128978,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7137165,0,6,0.0,False,0.23011548024729467,0.9754826431013173,0.7453671628540226,True,3e-05,5
LLaMA-3-3B,arc-challenge,ACTAAP_2011_5_16,0,6,0.0,False,-0.0012648354204616297,0.9925546432082135,0.9938194786286751,True,3e-05,4
LLaMA-3-3B,arc-challenge,MEA_2010_8_1,0,6,0.0,False,-0.5605899396066729,0.43914978095258655,0.9997397205592594,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_415093,0,8,0.0,True,0.14557631438252855,0.15378491882282505,0.00820860444029651,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_412374,0,9,0.0,False,-0.3310792940274239,0.05177880821742036,0.3828581022448443,False,3e-05,3
LLaMA-3-3B,arc-challenge,MEAP_2005_8_21,0,11,0.0,False,0.3178328597941127,0.3179559044534025,0.00012304465928981496,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_407327,0,12,0.0,True,-0.5871973178708167,0.24755318758345582,0.8347505054542725,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_407610,0,7,0.0,True,0.9621195440593792,0.9621507347525076,3.1190693128379214e-05,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7068513,0,14,0.0,True,-0.6426506646126128,0.356729313289336,0.9993799779019488,False,3e-05,3
LLaMA-3-3B,arc-challenge,ACTAAP_2014_5_8,0,6,0.0,True,0.5459015491321959,0.5724807804785111,0.02657923134631526,True,3e-05,4
LLaMA-3-3B,arc-challenge,TAKS_2009_5_26,0,4,0.0,True,0.6369807474771032,0.6812853660344079,0.044304618557304706,True,3e-05,4
LLaMA-3-3B,arc-challenge,FCAT_2008_5_2,0,5,0.0,True,-0.27404785923505504,0.2466961406131937,0.5207439998482487,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_416529,0,9,0.0,False,-0.018969310091563774,0.9810278119291433,0.9999971220207071,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_185010,0,6,0.0,True,0.9650937382447154,0.9650995088519809,5.770607265463782e-06,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_401277,0,6,0.0,True,0.85608322430395,0.9274919295336548,0.07140870522970481,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_406550,0,5,0.0,False,0.0991309048877017,0.11370104476094532,0.014570139873243631,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_402501,0,8,0.0,False,0.22276881377447943,0.9864652923558981,0.7636964785814186,True,3e-05,4
LLaMA-3-3B,arc-challenge,ACTAAP_2009_7_8,0,9,0.0,False,0.008421664064299436,0.008422495588758827,8.315244593911097e-07,False,3e-05,4
LLaMA-3-3B,arc-challenge,MCAS_2005_5_25,0,5,0.0,False,0.3849979906042409,0.4966275731494286,0.11162958254518775,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7013965,0,5,0.0,False,0.1283638001929419,0.9937862743719773,0.8654224741790354,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_400383,0,7,0.0,False,-0.13825845284016436,0.8445059802542069,0.9827644330943712,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_178325,0,11,0.0,False,0.13074956897627832,0.9280227190038985,0.7972731500276202,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_180373,0,3,0.0,False,-0.06414297383288459,0.9130208637113912,0.9771638375442758,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7171605,0,7,0.0,False,0.014208529791343127,0.8290932371881172,0.8148847073967741,True,3e-05,4
LLaMA-3-3B,arc-challenge,TIMSS_1995_8_J1,0,4,0.0,True,0.8895874325798788,0.8902968496210556,0.000709417041176739,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_401272,0,10,0.0,True,-0.7984964810713508,0.13359571142611867,0.9320921924974696,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7058415,0,5,0.0,False,-0.008355291208485993,0.7880235785755473,0.7963788697840333,True,3e-05,5
LLaMA-3-3B,arc-challenge,AKDE&ED_2008_8_53,0,8,0.0,False,0.02864600285246857,0.15458281508580343,0.12593681223333486,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_409115,0,11,0.0,True,0.6508968208509284,0.6591020964018095,0.008205275550881132,True,3e-05,5
LLaMA-3-3B,arc-challenge,MCAS_2014_8_20,0,14,0.0,True,0.8573124068101566,0.8604546146894758,0.0031422078793191554,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7026355,0,9,0.0,False,-0.0060074184375285,0.9935378029241485,0.999545221361677,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7218820,0,9,0.0,True,-0.7299029529478147,0.2661918655204191,0.9960948184682339,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_405947,0,5,0.0,False,0.0022838332308194875,0.9996549167213822,0.9973710834905627,True,3e-05,4
LLaMA-3-3B,arc-challenge,TAKS_2009_8_32,0,4,0.0,True,0.5320424064291742,0.8456874851063564,0.31364507867718217,True,3e-05,4
LLaMA-3-3B,arc-challenge,AIMS_2008_8_6,0,4,0.0,True,0.809336411560766,0.8321208049458382,0.022784393385072228,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_400059,0,17,0.0,False,0.22295921798063267,0.8627045650773036,0.639745347096671,True,3e-05,2
LLaMA-3-3B,arc-challenge,Mercury_7056858,0,6,0.0,False,-0.009150155267150573,0.9893318279847407,0.9984819832518913,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_400701,0,4,0.0,False,0.0006974171311495692,0.9745247212582832,0.9738273041271336,True,3e-05,4
LLaMA-3-3B,arc-challenge,TIMSS_2003_4_pg7,0,12,0.0,False,0.32471708665971155,0.9113033271035057,0.5865862404437941,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_406777,0,6,0.0,True,-0.20337143276413955,0.34782184265563826,0.5511932754197778,False,3e-05,4
LLaMA-3-3B,arc-challenge,MEA_2016_8_12,0,4,0.0,False,0.057198703607127595,0.08198553138415955,0.024786827777031957,False,3e-05,4
LLaMA-3-3B,arc-challenge,TIMSS_2011_8_pg102,0,13,0.0,True,0.947577939641701,0.9475926330832016,1.4693441500570328e-05,True,3e-05,4
LLaMA-3-3B,arc-challenge,MDSA_2009_8_2,0,4,0.0,False,0.14214593085833604,0.9292168115054181,0.7870708806470821,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_402145,0,5,0.0,False,-0.11372212116071856,0.8862777517707889,0.9999998729315075,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_416155,0,6,0.0,False,-0.004800665856028452,0.9936089308125228,0.9984095966685512,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_SC_413299,0,5,0.0,False,-0.002759909476332756,0.9959720203715914,0.9987319298479241,True,3e-05,5
LLaMA-3-3B,arc-challenge,AIMS_2009_4_5,0,11,0.0,False,0.055966714021454145,0.9771638376280067,0.9211971236065526,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7263375,0,10,0.0,False,0.35159027712906377,0.8967611025869929,0.5451708254579292,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7029803,0,5,0.0,False,-0.11574361184665827,0.812810543465353,0.9285541553120112,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7168805,0,12,0.0,False,0.06214773287555223,0.11603187020928507,0.05388413733373284,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_410669,0,8,0.0,False,0.04911986214219807,0.08015456365131535,0.031034701509117274,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7215845,0,9,0.0,False,0.12435985959647067,0.9162252098398016,0.7918653502433309,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_400699,0,8,0.0,True,-0.4710869607244933,0.015829451938277537,0.48691641266277086,False,3e-05,3
LLaMA-3-3B,arc-challenge,MEAP_2005_8_39,0,8,0.0,True,0.9625437802653576,0.966608123690096,0.004064343424738416,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7247013,0,8,0.0,False,-0.0039037767824505742,0.9916008162318023,0.9955045930142529,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7216248,0,8,0.0,False,0.19564382650227546,0.39697619551807134,0.20133236901579588,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7057173,0,3,0.0,True,0.7615139770199966,0.9418213120236032,0.1803073350036066,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_405533,0,6,0.0,False,0.5510597759081779,0.9093873495654538,0.35832757365727586,True,3e-05,4
LLaMA-3-3B,arc-challenge,LEAP_2000_8_4,0,17,0.0,True,0.6873215708396716,0.6909093575213544,0.0035877866816828334,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7186358,0,9,0.0,False,-0.0014862437005191964,0.9977990150144905,0.9992852587150097,True,3e-05,3
LLaMA-3-3B,arc-challenge,MCAS_2004_9_15-v1,0,4,0.0,False,0.17292322450936815,0.8477397023957152,0.674816477886347,True,3e-05,5
LLaMA-3-3B,arc-challenge,AKDE&ED_2008_8_47,0,9,0.0,False,-0.1200238077825807,0.8799713826533412,0.9999951904359219,True,3e-05,3
LLaMA-3-3B,arc-challenge,NYSEDREGENTS_2015_4_29,0,5,0.0,True,-0.8998328825664185,0.05295591875836292,0.9527888013247814,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7099330,0,13,0.0,False,0.007700695941199945,0.07373536508260128,0.06603466914140134,False,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_409301,0,7,0.0,False,0.019325605234204346,0.6606419952890608,0.6413163900548564,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_405726,0,5,0.0,False,-0.007604069578591277,0.9876494045317159,0.9952534741103072,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_401818,0,10,0.0,False,-0.07908013550984949,0.9118250394205301,0.9909051749303796,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7016765,0,8,0.0,True,-0.8435570947431924,0.15592489576444804,0.9994819905076404,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7086695,0,7,0.0,False,0.09918728385316848,0.09918733379030283,4.9937134348905175e-08,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_400500,0,9,0.0,False,0.264425293268887,0.905660833664739,0.6412355403958521,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_410807,0,11,0.0,True,0.8070548526440574,0.9534036971867736,0.14634884454271627,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7210473,0,4,0.0,False,-0.0017615591981265943,0.9979914439264861,0.9997530031246127,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7107170,0,4,0.0,True,0.9707123657351847,0.9720289489683356,0.0013165832331509045,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7206938,0,9,0.0,False,-0.24128997177553102,0.6204304652904832,0.8617204370660142,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_400708,0,5,0.0,False,0.1742428422380916,0.8253532459751518,0.6511104037370602,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7228725,0,6,0.0,False,-0.005570293813983218,0.9937960417100087,0.9993663355239919,True,3e-05,4
LLaMA-3-3B,arc-challenge,TIMSS_2007_8_pg60,0,6,0.0,False,0.12814127282076204,0.702803699538334,0.574662426717572,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7027160,0,7,0.0,True,0.9493156671955787,0.9813579226600193,0.03204225546444064,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7109463,0,8,0.0,False,-0.2315345823180308,0.5150773261257466,0.7466119084437775,True,3e-05,3
LLaMA-3-3B,arc-challenge,TIMSS_2011_4_pg27,0,5,0.0,True,0.2996717883117082,0.6893345721235312,0.389662783811823,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7103600,0,12,0.0,True,0.24255768934097183,0.24304519123708293,0.0004875018961110925,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7166425,0,5,0.0,True,0.4108958752898559,0.6750929410897644,0.2641970657999085,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_412202,0,9,0.0,False,0.1159330409393875,0.5987341420632037,0.48280110112381625,True,3e-05,3
LLaMA-3-3B,arc-challenge,TAKS_2009_8_36,0,3,0.0,False,-0.12403585553204777,0.41290897109894287,0.5369448266309906,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7141610,0,7,0.0,False,0.12700853381563948,0.9183942052029731,0.7913856713873336,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_415407,0,6,0.0,False,0.05613954913902528,0.0561609484148771,2.1399275851821904e-05,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7249708,0,6,0.0,True,0.7461659974153819,0.7470761330746062,0.0009101356592242487,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7024465,0,9,0.0,False,0.005140626026711155,0.005186007680845256,4.53816541341018e-05,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7212678,0,5,0.0,False,-0.017116424383749496,0.9806778110628633,0.9977942354466128,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_406725,0,7,0.0,True,0.8768141302332622,0.9232615702146517,0.046447439981389615,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_409647,0,4,0.0,False,0.01549606207883288,0.01569920992473845,0.00020314784590557184,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_LBS11018,0,13,0.0,True,-0.2880311993263953,0.09299232228719319,0.3810235216135885,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7139878,0,6,0.0,True,-0.8117241099139312,0.03666528066532736,0.8483893905792586,False,3e-05,3
LLaMA-3-3B,arc-challenge,NYSEDREGENTS_2010_4_4,0,7,0.0,False,0.11763311324692996,0.34809690221558287,0.2304637889686529,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7210245,0,7,0.0,True,0.9517145590663613,0.9695452407413822,0.017830681675020908,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_400407,0,13,0.0,False,0.2892726498193203,0.2892746443799379,1.9945606175497105e-06,False,3e-05,4
LLaMA-3-3B,arc-challenge,AKDE&ED_2008_4_25,0,9,0.0,False,-0.011304035477194385,0.9773010991676488,0.9886051346448432,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7212993,0,7,0.0,False,-0.3494404144326616,0.6489385145571098,0.9983789289897714,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7097493,0,12,0.0,True,0.6315979056919399,0.6456151510603134,0.014017245368373525,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7270393,0,7,0.0,True,0.5252532458382786,0.8595575771942249,0.3343043313559462,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7201740,0,8,0.0,False,0.2985577611387301,0.9122856129621281,0.613727851823398,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_SC_414041,0,12,0.0,False,-0.2623511012101988,0.7060342702996754,0.9683853715098741,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7182245,0,4,0.0,False,0.014977619200902445,0.03952251255190683,0.024544893351004383,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_401366,0,5,0.0,True,0.9169546971858188,0.918623228359359,0.0016685311735401278,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_412681,0,4,0.0,False,0.306408129050608,0.8078236059433502,0.5014154768927422,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7102323,0,4,0.0,False,-0.0051635016126574396,0.9932108545203697,0.9983743561330272,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_407260,0,4,0.0,True,-0.915697667372751,0.0790652927052539,0.9947629600780049,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7250058,0,5,0.0,False,0.01770834194535222,0.01773587733046415,2.7535385111929186e-05,False,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_401278,0,8,0.0,True,0.16087735966036185,0.1640458201736215,0.0031684605132596285,False,3e-05,3
LLaMA-3-3B,arc-challenge,NYSEDREGENTS_2008_8_30,0,5,0.0,False,0.019047921655867883,0.9711759843761851,0.9521280627203172,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7084665,0,13,0.0,True,0.9782812557583236,0.9876603814598182,0.009379125701494543,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_400687,0,7,0.0,False,-0.6408930215530464,0.35909905309244894,0.9999920746454953,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_401290,0,8,0.0,True,0.8926065878763175,0.8941035636001129,0.001496975723795375,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7043820,0,6,0.0,True,0.9928637934865705,0.9941887424692593,0.0013249489826887648,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_401116,0,5,0.0,False,-0.0022229681754130093,0.9975697680994219,0.9997927362748349,True,3e-05,5
LLaMA-3-3B,arc-challenge,MCAS_2005_9_17,0,11,0.0,False,-0.0019056558131562706,0.9947081508134564,0.9966138066266127,True,3e-05,3
LLaMA-3-3B,arc-challenge,AKDE&ED_2008_8_7,0,10,0.0,False,-0.009081063869775807,0.9788077854921812,0.987888849361957,True,3e-05,3
